CODE_ETU,PARCOURS
14000787.0,BCG
14000790.0,BCG
14000791.0,BCG
14000792.0,BCG
14000793.0,BCG
14000796.0,BCG
14000845.0,BCG
14000990.0,BCG
14001001.0,BCG
14001010.0,BCG
14001037.0,BCG
14001039.0,BCG
14001236.0,BCG
14001374.0,BCG
14001434.0,BCG
14001585.0,BCG
14001596.0,BCG
14001602.0,BCG
14001601.0,BCG
14001604.0,BCG
14001607.0,BCG
14001611.0,BCG
14001612.0,BCG
14001641.0,BCG
14001647.0,BCG
14001648.0,BCG
14001649.0,BCG
14001651.0,BCG
14001650.0,BCG
14001652.0,BCG
14001654.0,BCG
14001653.0,BCG
14001655.0,BCG
14001656.0,BCG
14001657.0,BCG
14001658.0,BCG
14001838.0,BCG
14001936.0,BCG
14001969.0,BCG
14001987.0,BCG
14002042.0,BCG
14002043.0,BCG
14002044.0,BCG
14002046.0,BCG
14002050.0,BCG
14002202.0,BCG
14002262.0,BCG
14002310.0,BCG
14002331.0,BCG
14002373.0,BCG
14002435.0,BCG
14002474.0,BCG
14002981.0,BCG
14003081.0,BCG
14003099.0,BCG
14003205.0,BCG
14003218.0,BCG
14003240.0,BCG
14003276.0,BCG
14003296.0,BCG
14003314.0,BCG
14004681.0,BCG
14004791.0,BCG
14004961.0,BCG
14004990.0,BCG
14004997.0,BCG
14005004.0,BCG
14005055.0,BCG
14005201.0,BCG
14005206.0,BCG
14005207.0,BCG
14005216.0,BCG
14005232.0,BCG
14005238.0,BCG
14005261.0,BCG
14005397.0,BCG
14005553.0,BCG
14005642.0,BCG
14005654.0,BCG
14005745.0,BCG
14005846.0,BCG
14005961.0,BCG
14005962.0,BCG
14005963.0,BCG
14005964.0,BCG
14005965.0,BCG
14005966.0,BCG
14005967.0,BCG
14005973.0,BCG
14005974.0,BCG
14006140.0,BCG
14006141.0,BCG
14006142.0,BCG
14006171.0,BCG
14006172.0,BCG
14006173.0,BCG
14006174.0,BCG
14006204.0,BCG
14006559.0,BCG
14006560.0,BCG
14006561.0,BCG
14006562.0,BCG
14006616.0,BCG
14006702.0,BCG
14007105.0,BCG
14007110.0,BCG
14007228.0,BCG
14007278.0,BCG
