CODE_ETU,NOTE_S1,RESULT_S1,NOTE_S2,RESULT_S2,NOTE_S3,RESULT_S3,NOTE_S4,RESULT_S4,NOTE_ANNE_1,RESULT_ANNE_1,NOTE_ANEE_2,RESULT_ANNE_2,PARCOURS,ANNE_1,ANNE_2
13010024.0,0.0,NP,2.22,NV,0.0,NP,0.0,NP,1.11,NV,0.0,NP,BCG,,2014.0
13010027.0,0.0,NP,1.67,NV,0.0,NP,0.0,NP,0.83,NV,0.0,NP,BCG,,2014.0
13010028.0,5.19,NV,10.83,V,6.9,NV,3.27,NV,8.01,AC,5.08,NV,BCG,2014.0,2014.0
13010634.0,6.29,NV,7.75,AC,0.26,NV,1.67,NV,7.02,AC,0.96,NV,BCG,2014.0,2014.0
13010797.0,10.87,V,9.46,AC,0.72,NV,2.22,NV,10.17,V,1.47,NV,BCG,2014.0,2014.0
13010975.0,1.5,NV,1.0,NV,0.0,NP,0.0,NP,1.25,NV,0.0,NP,BCG,2014.0,
13011117.0,8.52,AC,5.59,NV,1.03,NV,3.3,NV,7.06,AC,2.17,NV,BCG,2013.0,2014.0
13011190.0,11.86,V,6.4,NV,4.96,NV,9.39,AC,9.13,AC,7.18,AC,BCG,2013.0,2014.0
13011225.0,10.44,V,5.25,NV,4.52,NV,6.82,NV,7.84,AC,5.67,NV,BCG,2013.0,2014.0
13011263.0,5.82,NV,6.3,NV,0.0,NP,0.0,NP,6.06,NV,0.0,NP,BCG,2014.0,2014.0
13011265.0,10.77,V,11.5,V,0.38,NV,2.33,NV,11.14,V,1.36,NV,BCG,2014.0,2014.0
13011269.0,7.15,AC,10.62,V,8.14,AC,3.5,NV,8.89,AC,5.82,NV,BCG,2014.0,2014.0
13011318.0,10.13,V,5.0,NV,6.23,NV,10.92,V,7.56,AC,8.58,AC,BCG,2013.0,2014.0
13011379.0,11.32,V,12.22,V,9.52,AC,12.9,V,11.77,V,11.21,V,BCG,2014.0,2015.0
13011424.0,5.21,NV,11.1,V,7.02,AC,2.33,NV,8.15,AC,4.68,NV,BCG,2014.0,2014.0
13011436.0,7.71,AC,10.0,V,5.62,NV,3.0,NV,8.85,AC,4.31,NV,BCG,2014.0,2014.0
13011439.0,10.45,V,9.09,AC,3.3,NV,1.88,NV,9.77,AC,2.59,NV,BCG,2014.0,2014.0
13011472.0,6.85,NV,11.19,V,7.49,AC,4.56,NV,9.02,AC,6.02,NV,BCG,2014.0,2014.0
13011474.0,1.5,NV,2.01,NV,0.0,NP,0.0,NP,1.75,NV,0.0,NP,BCG,2014.0,2014.0
13011494.0,6.98,NV,11.02,V,7.09,AC,3.88,NV,9.0,AC,5.48,NV,BCG,2014.0,2014.0
13011534.0,5.23,NV,12.22,V,10.01,V,1.13,NV,8.73,AC,5.57,NV,BCG,2014.0,2014.0
13011712.0,1.5,NV,1.0,NV,0.0,NP,0.0,NP,1.25,NV,0.0,NP,BCG,2014.0,
13011721.0,0.0,NP,0.0,NP,0.0,NP,0.0,NP,0.0,NP,0.0,NP,BCG,,
13012011.0,11.48,V,5.93,NV,5.59,NV,9.44,AC,8.71,AC,7.52,AC,BCG,2013.0,2014.0
13012015.0,10.61,V,7.08,AC,9.52,AC,8.74,AC,8.85,AC,9.13,AC,BCG,2013.0,2014.0
13012042.0,6.28,NV,8.75,AC,0.0,NP,0.0,NP,7.52,AC,0.0,NP,BCG,2014.0,
13012055.0,9.86,AC,5.71,NV,4.29,NV,7.89,AC,7.78,AC,6.09,NV,BCG,2013.0,2014.0
13012118.0,0.0,NP,2.2,NV,0.0,NP,0.0,NP,1.1,NV,0.0,NP,BCG,,2014.0
13012136.0,9.22,AC,9.72,AC,4.46,NV,6.9,NV,9.48,AC,5.68,NV,BCG,2014.0,2015.0
13012156.0,5.92,NV,11.56,V,9.41,AC,3.3,NV,8.74,AC,6.35,NV,BCG,2014.0,2014.0
13012176.0,7.57,AC,2.68,NV,2.74,NV,0.0,NP,5.12,NV,1.37,NV,BCG,2014.0,2014.0
13012223.0,12.02,V,12.62,V,1.6,NV,2.62,NV,12.32,V,2.11,NV,BCG,2014.0,2014.0
13012249.0,5.47,NV,3.93,NV,0.0,NP,0.0,NP,4.7,NV,0.0,NP,BCG,2014.0,2015.0
13012266.0,10.13,V,10.32,V,3.02,NV,2.42,NV,10.22,V,2.72,NV,BCG,2014.0,2014.0
13012277.0,11.02,V,12.77,V,6.3,NV,2.33,NV,11.9,V,4.32,NV,BCG,2014.0,2014.0
13012297.0,6.67,NV,10.28,V,7.72,AC,2.12,NV,8.48,AC,4.92,NV,BCG,2014.0,2014.0
13012299.0,7.52,AC,10.0,V,4.61,NV,1.87,NV,8.76,AC,3.24,NV,BCG,2014.0,2014.0
13012304.0,7.67,AC,12.6,V,14.68,V,7.64,AC,10.14,V,11.16,V,BCG,2014.0,2014.0
13012310.0,8.81,AC,5.0,NV,1.8,NV,8.06,AC,6.91,NV,4.93,NV,BCG,2013.0,2014.0
13012324.0,9.01,AC,5.73,NV,1.92,NV,5.35,NV,7.37,AC,3.63,NV,BCG,2013.0,2014.0
13012339.0,9.58,AC,10.67,V,2.4,NV,1.67,NV,10.12,V,2.03,NV,BCG,2014.0,2014.0
13012344.0,8.04,AC,11.2,V,10.22,V,2.79,NV,9.62,AC,6.51,NV,BCG,2014.0,2014.0
13012358.0,8.4,AC,11.56,V,1.67,NV,2.4,NV,9.98,AC,2.03,NV,BCG,2014.0,2014.0
13012363.0,8.38,AC,7.91,AC,1.11,NV,1.67,NV,8.15,AC,1.39,NV,BCG,2014.0,2014.0
13012370.0,7.2,AC,12.12,V,11.3,V,2.75,NV,9.66,AC,7.03,AC,BCG,2014.0,2014.0
13012387.0,6.64,NV,10.04,V,0.21,NV,2.0,NV,8.34,AC,1.1,NV,BCG,2014.0,2014.0
13012396.0,7.98,AC,7.13,AC,0.0,NP,1.42,NV,7.56,AC,0.71,NV,BCG,2014.0,2014.0
13012397.0,6.48,NV,8.77,AC,0.23,NV,2.08,NV,7.62,AC,1.16,NV,BCG,2014.0,2014.0
13012427.0,1.68,NV,1.0,NV,0.0,NP,0.0,NP,1.34,NV,0.0,NP,BCG,2014.0,
13012458.0,12.1,V,11.86,V,9.29,AC,12.63,V,11.98,V,10.96,V,BCG,2014.0,2015.0
13012469.0,6.36,NV,6.43,NV,2.52,NV,2.08,NV,6.4,NV,2.3,NV,BCG,2014.0,2014.0
13012475.0,6.32,NV,7.52,AC,0.26,NV,2.0,NV,6.92,NV,1.13,NV,BCG,2014.0,2014.0
13012487.0,8.72,AC,9.75,AC,5.81,NV,1.29,NV,9.24,AC,3.55,NV,BCG,2014.0,2015.0
13012505.0,10.23,V,9.5,AC,0.42,NV,2.83,NV,9.86,AC,1.62,NV,BCG,2014.0,2014.0
13012523.0,10.0,V,10.17,V,3.53,NV,2.0,NV,10.09,V,2.77,NV,BCG,2014.0,2014.0
13012547.0,0.11,NV,1.67,NV,0.0,NP,0.0,NP,0.89,NV,0.0,NP,BCG,2014.0,2014.0
13012558.0,3.48,NV,2.93,NV,0.18,NV,0.0,NP,3.2,NV,0.09,NV,BCG,2014.0,2014.0
13012564.0,10.05,V,5.89,NV,6.96,NV,8.94,AC,7.97,AC,7.95,AC,BCG,2013.0,2014.0
13012634.0,0.0,NP,0.0,NP,0.0,NP,0.0,NP,0.0,NP,0.0,NP,BCG,,
13012646.0,7.07,AC,7.58,AC,0.22,NV,1.67,NV,7.32,AC,0.95,NV,BCG,2014.0,2014.0
13012707.0,2.0,NV,1.67,NV,0.0,NP,0.0,NP,1.83,NV,0.0,NP,BCG,2014.0,2014.0
13012711.0,4.71,NV,6.1,NV,0.0,NP,0.0,NP,5.4,NV,0.0,NP,BCG,2014.0,2015.0
13012726.0,7.8,AC,13.72,V,10.0,V,2.67,NV,10.76,V,6.33,NV,BCG,2014.0,2014.0
13012731.0,5.15,NV,7.4,AC,0.0,NP,0.0,NP,6.27,NV,0.0,NP,BCG,2014.0,2014.0
